Pair,Num_Trades,Total_PnL,Avg_PnL
MEDIAALPHA INC-SONDER HOLDINGS INC,3,-2.1208654046182653,-0.7069551348727551
KINGSWAY FINANCIAL SERVICES INC-WILLIAM PENN BANCORPORATION,3,-2.266382617685484,-0.755460872561828
LEMONADE INC-HEARTCORE ENTERPRISES INC,3,-2.2883712620414154,-0.7627904206804718
ENSYSCE BIOSCIENCES INC-MAWSON INFRASTRUCTURE GROUP INC,5,-2.3314762107374563,-0.46629524214749124
INSPIRATO INC-INSIGHT ACQUISITION CORP,1,-2.402847038019452,-2.402847038019452
INSPIRATO INC-ALPHA MODUS HOLDINGS INC,1,-2.402847038019452,-2.402847038019452
AEVA TECHNOLOGIES INC-FOXO TECHNOLOGIES INC,1,-2.5653185178878055,-2.5653185178878055
ZYVERSA THERAPEUTICS INC-ASSET ENTITIES INC,1,-2.858345107295867,-2.858345107295867
FIRST FOUNDATION INC-CONIFER HOLDINGS INC,2,-3.816880552813426,-1.908440276406713
WEBSTER FINANCIAL CORP-AUBURN NATIONAL BANCORP,2,-4.619189429672466,-2.309594714836233
PENNS WOODS BANCORP INC-HANOVER BANCORP INC,2,-4.6523451705704195,-2.3261725852852098
HYZON MOTORS INC-REDWOODS ACQUISITION CORP,1,-4.772104377104377,-4.772104377104377
HYZON MOTORS INC-ANEW MEDICAL INC,1,-4.772104377104377,-4.772104377104377
HYZON MOTORS INC-KLOTHO NEUROSCIENCES INC,1,-4.772104377104377,-4.772104377104377
CONSUMER PORTFOLIO SVCS INC-BANK OF JAMES FINL GROUP INC,2,-4.942250208330233,-2.4711251041651163
BROADWAY FINANCIAL CORP DEL-LIVE OAK BANCSHARES INC,7,-5.827253638589438,-0.8324648055127769
SUMMIT STATE BANK-VIVID SEATS INC,3,-5.865740937036252,-1.9552469790120839
TRISALUS LIFE SCIENCES INC-JANOVER INC,5,-6.689187012942618,-1.3378374025885236
S B FINANCIAL GROUP INC-EVANS BANCORP INC,3,-7.038848314606742,-2.3462827715355807
CALIDI BIOTHERAPEUTICS INC-ALTERNUS CLEAN ENERGY INC,3,-7.844222994295377,-2.614740998098459
GD CULTURE GROUP LTD-FARADAY FUTURE INTEL ELCTRC INC,2,-8.527690706136582,-4.263845353068291
C F BANKSHARES INC-GOOSEHEAD INSURANCE INC,5,-10.004389165108845,-2.000877833021769
GOLDENSTONE ACQUISITION LTD-TRAILBLAZER MERGER CORP I,3,-10.059523933562776,-3.353174644520925
N S T S BANCORP INC-ECB BANCORP INC,3,-10.62266954519286,-3.54088984839762
FIRST U S BANCSHARES INC-GLOBAL INDEMNITY GROUP LLC,3,-11.314462810656579,-3.771487603552193
KENTUCKY FIRST FEDERAL BANCORP-GETTY IMAGES HOLDINGS INC,8,-13.645184519484493,-1.7056480649355616
HOMESTREET INC-MARYGOLD COMPANIES INC,7,-13.708935574917167,-1.9584193678453095
LANDMARK BANCORP INC-MAGYAR BANCORP INC,4,-15.519369481835287,-3.879842370458822
FIRST CAPITAL INC-MERCADOLIBRE INC,8,-16.691330232071703,-2.086416279008963
C B FINANCIAL SERVICES INC-PONCE FINANCIAL GROUP INC,7,-16.816061624384705,-2.4022945177692434
OLD POINT FINL CORP-BV FINANCIAL INC,7,-17.315309863297934,-2.4736156947568477
WESTWOOD HOLDINGS GROUP INC-FINWARD BANCORP,8,-17.853882810349575,-2.231735351293697
OHIO VALLEY BANC CORP-PROVIDENT FINANCIAL HOLDINGS INC,7,-18.72312813395191,-2.6747325905645587
WINVEST ACQUISITION CORP-GLOBAL STAR ACQUISITION INC,7,-24.491437919405804,-3.4987768456294006
GLEN BURNIE BANCORP-UNION BANKSHARES INC,10,-27.76119950208503,-2.776119950208503
HOMETRUST BANCSHARES INC-1895 BANCORP OF WI INC NEW,12,-28.18331525884161,-2.3486096049034675
PATHFINDER BANCORP INC MD-FINANCIAL INSTITUTIONS INC,13,-29.43292513197889,-2.264071163998376
CELULARITY INC-BENSON HILL INC,1,-31.874570255015353,-31.874570255015353
STEM INC-JET AI INC,4,-31.898496503496496,-7.974624125874124
VILLAGE BANK AND TRUST FINL CORP-PAYONEER GLOBAL INC,11,-33.01022254057534,-3.0009293218704864
R F ACQUISITION CORP-FOUR LEAF ACQUISITION CORP,12,-44.46231504112032,-3.70519292009336
REGIONAL MANAGEMENT CORP-PB BANKSHARES INC,24,-49.16432484357375,-2.048513535148906
LAKE SHORE BANCORP INC-PIONEER BANCORP INC,23,-51.63385005954226,-2.2449500025887934
HOME FEDERAL BANCORP INC LA-NAVIENT CORP,26,-54.1589431795316,-2.0830362761358305
DONEGAL GROUP INC-TIPTREE INC,41,-107.63263566092027,-2.625186235632202
BANZAI INTERNATIONAL INC-ZOOMCAR HOLDINGS INC,6,-122.19292816097492,-20.36548802682915
LAKELAND FINANCIAL CORP-FEDERAL AGRICULTURAL MORT CORP,51,-139.5334228253131,-2.735949467163002
